doc_id,chunk_count,total_words,avg_chunk_size,min_chunk_size,max_chunk_size,error
DOC0001,2,828,414.0,380,448,
DOC0002,28,9834,351.2,112,449,
DOC0003,28,9685,345.9,95,448,
DOC0004,26,9196,353.7,124,469,
DOC0005,20,7177,358.9,182,448,
DOC0006,20,7177,358.9,182,448,
DOC0007,31,10368,334.5,187,448,
DOC0008,36,13101,363.9,115,490,
DOC0009,35,11298,322.8,226,434,
DOC0010,35,10918,311.9,255,440,
DOC0011,36,11796,327.7,269,446,
DOC0012,34,12417,365.2,203,450,
DOC0013,23,8263,359.3,272,449,
DOC0014,40,14456,361.4,216,489,
DOC0015,40,15086,377.1,60,473,
DOC0016,31,11304,364.6,248,454,
DOC0017,28,9212,329.0,233,429,
DOC0018,16,6435,402.2,292,443,
DOC0019,31,10740,346.5,211,447,
DOC0020,37,12294,332.3,223,450,
DOC0021,37,12727,344.0,258,444,
DOC0022,29,9899,341.3,136,449,
DOC0023,2,550,275.0,144,406,
DOC0024,21,9252,440.6,103,525,
DOC0025,22,8038,365.4,126,556,
DOC0026,25,8124,325.0,51,502,
DOC0027,28,9216,329.1,207,448,
DOC0028,51,17356,340.3,59,505,
DOC0029,22,8228,374.0,127,461,
DOC0030,34,10901,320.6,164,450,
DOC0031,30,10078,335.9,166,432,
DOC0032,35,11992,342.6,187,444,
DOC0033,29,9326,321.6,234,450,
DOC0034,30,11121,370.7,152,450,
DOC0035,33,12049,365.1,67,450,
DOC0036,28,9509,339.6,99,448,
DOC0037,28,10183,363.7,238,432,
DOC0038,3,1183,394.3,322,435,
DOC0039,3,1029,343.0,170,432,
DOC0040,27,9641,357.1,82,488,
DOC0041,10,5040,504.0,287,629,
DOC0042,24,9737,405.7,325,449,
DOC0043,53,23519,443.8,86,737,
DOC0044,2,734,367.0,300,434,
DOC0045,42,15127,360.2,160,446,
DOC0046,28,9593,342.6,237,443,
DOC0047,0,0,0.0,0,0,Empty text
DOC0048,18,8615,478.6,335,550,
DOC0049,20,7389,369.4,247,624,
DOC0050,4,1241,310.2,195,447,
DOC0051,39,12309,315.6,227,439,
DOC0052,3,1038,346.0,172,438,
DOC0053,1,232,232.0,232,232,
DOC0054,0,0,0.0,0,0,Empty text
